_ID	KIND	EXPERIMENTER	CHILD
1	12	You want me to do this piece now?	
1	12		Yeah
1	12	What should I do with this piece?	
1	12		To put it on the cow!
1	12	Well..	
1	12	Tell me where to put it in here	
1	12	Like this?	
1	12		Yes
1	12	Yes?	
1	12		No.
1	12	No? What do I need to do with it?	
1	12		It didn't fit
1	12	Hmmm. Now what should I do?	
1	12		Hmmm. Ah Ha!
1	12		I'll show you what you do
1	12	Hold on. Hang on, hang on. I can scooch your seat up for you	
1	12		Don't worry, I'll show you
1	12	No, no, no. Sit in your seat.	
1	12		Was going ### the puzzle ###. It's look like this
1	12	Right. So where should... what should I do with this piece?	
1	12		Hmmm. It didn't fit. Ah.
1	12	Hmmm	
1	12		Wheres it goes
1	12	Well, hmmm. 	
1	12	What about this piece? Should we fix this piece?	
1	12	Penny, hang on. Should we fix this piece?	
1	12		No. 
1	12	Where does this… can you tell me what to do with this piece?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	
1	12	Like this?	
1	12		Yeah
1	12	How did you know that would go there?	
1	12		It's red and ### go right here.
1	12	Ok, now how about this one? What should I do with this one?	
1	12		To put on the pig. But let's do that one first.
1	12	Hang on let's do this one first. 	
1	12	Can you tell me what to do with this one?	
1	12		To put on the pig
1	12	I don't know what that means. What do you mean?	
1	12		It means go to the pig. 
1	12	The… the pink or the pig?	
1	12		The pig.
1	12	Where's that? Can you show me?	
1	12		I'll find it for you.
1	12	Ok. 	
1	12	Oh no, no, no. Let’s wait to do those pieces.	
1	12	What should I do with this piece?	
1	12		To put on the pig
1	12	Hmmm. Can you tell me on the puzzle?	
1	12	Like this?	
1	12	What should I do to fix it?	
1	12		Turn it
1	12	Like this?	
1	12		No.
1	12	No? What should I do to fix it?	
1	12	What about… How about… Penny	
1	12	Penny, what should I do with this?	
1	12		Take it off
1	12	What do I need to do with this?	
1	12		Move it back.
1	12	There. 	
1	12	Now what should I do with this piece?	
1	12		You have to turn it right here. 
1	12	Like this?	
1	12		Yeah
1	12	Like that? Does that look right?	
1	12		Mm
1	12	Ok. Now what should I do with this piece?	
1	12		The sheep.
1	12	The sheep	
1	12	What should I do with that one?	
1	12		Hmmm
1	12	Hmm. Like this?	
1	12	Yeah? Does that look right?	
1	12		No.
1	12	No? What should I do to fix it?	
1	12		Turn around
1	12	Like this?	
1	12		No
1	12	No? 	
1	12		Try again.
1	12	Like this?	
1	12		No
1	12	No? Like this?	
1	12		Yes.
1	12	Yes? 	
1	12	Ok. Now where should I put this one?	
1	12		No. That one goes
1	12	No?	
1	12		Got it. 
1	12	Got it	
1	12		Does that look right?
1	12	Does that look right?	
1	12		Yeah!
1	12	Ok.	
1	12	So what should I do with this piece?	
1	12		The cow
1	12		You put it on the cow's face.
1	12	Hmmm. What to you think Penny? What should I do with this piece?	
1	12		You put it on the cow.
1	12	Like this?	
1	12		No.
1	12	No? What should I do to fix it?	
1	12		Turn it. 
1	12	Like this?	
1	12		No. 
1	12	No? Like this?	
1	12		No. 
1	12	No?	
1	12	Ok.	
1	12	What should I do with it? Like this?	
1	12	What should I do to fix it?	
1	12		Turn it. 
1	12	Like this?	
1	12		No. 
1	12	No? What should I do with it?	
1	12		Turning it again. 
1	12	Turn it again?	
1	12	Like this?	
1	12		No. 
1	12	No? 	
1	12		No.
1	12	Ok, we'll wait for that one. What should I do with this one?	
1	12		Put it on the cow. 
1	12		The cow is right…
1	12	Can you tell me what to do with this puzzle piece.	
1	12		To fix it. 
1	12	How do I fix it? You have to tell me remember?	
1	12		You have to turn it. 
1	12	Turn it?	
1	12	Ok. Can you tell me about the puzzle though?	
1	12		It looks like that.
1	12	Ok, so where should I put this piece?	
1	12		The pig
1	12	Like this?	
1	12		Mmm no.
1	12	No?	
1	12		No. 
1	12		It's no like a cow's body. It's like a pig's body
1	12		But this go right here. 
1	12	Like this?	
1	12	No? How should I fix it?	
1	12		You have to turn it. 
1	12	Like this? Penny, Like this ? 	
1	12		Yeah!
1	12	Like that?	
1	12		No. 
1	12	No? What should I do to fix it?	
1	12		Turn it
1	12	Like this?	
1	12		No. 
1	12	No? Now what should I do	
1	12		Hmm. You have to turn it again
1	12	Like this?	
1	12	No? What do I have to do now?	
1	12		You have to turn again. 
1	12	Like this?	
1	12		No. 
1	12	No? 	
1	12	How about this one? What should I do with this one?	
1	12		Get it off
1	12	Get it off? 	
1	12	Now what should I do with it ?	
1	12	Like this? No?	
1	12		I think my tummy hurts. 
1	12	Your tummy hurts? 	
1	12		Yes. Just a little bit. 
1	12	Just a little bit? 	
1	12	Ok. Can you tell me what to do with this piece?	
1	12	Like this?	
1	12	No? What should I do with it? 	
1	12		Turn again. 
1	12	Like this?	
1	12		No. 
1	12	No? 	
1	12	Penny? Penny? 	
1	12		Yeah?
1	12	What should I do? I can only do what you tell me to do. Let's finish the puzzle. Wanna finish the Puzzle? 	
1	12		Those look like circles. 
1	12	Those Look like circles? 	
1	12		Yeah and that's ### think
1	12	Ok. Penny, should we finish this puzzle? 	
1	12		Yeah!
1	12	Ok. Let's finish the puzzle. Remember, you have to tell me what to do . What should I do with this piece?	
1	12		Put it on the Horse. 
1	12	Put this one on the horse? This one? This piece? 	
1	12	Look at the piece. 	
1	12		That piece. 
1	12	This piece?	
1	12		Yes. 
1	12	What should I do with this one? 	
1	12	Here? 	
1	12		No. 
1	12	No? 	
1	12	What should I do with it?	
1	12	How about here?	
1	12		###
1	12	Look. 	
1	12		Yeah! 
1	12		It fits!
1	12	It fits. 	
1	12	Ok. Now what should I do with this one? 	
1	12		Put it on the pig. 
1	12	Like this? 	
1	12		Yeah!
1	12	Like this? 	
1	12		Yeah!
1	12	How did you know that would go there? 	
1	12		We need the pig's leg. 
1	12	We need the pig's legs. 	
1	12	What should I do with this one? 	
1	12		Put it on the cow. 
1	12	Can you… put it on the cow? 	
1	12	Like this? 	
1	12		Yeah!
1	12	How did you know that piece would go there? 	
1	12		It's right!
1	12	It's right?	
1	12		Yeah. ###
1	12	What should I do with this one?	
1	12	Like this? 	
1	12		No. 
1	12	Are you ok? 	
1	12		Yea. 
1	12	Ok. What should I do to fix this one? 	
1	12		To put it right here. 
1	12	Like this? 	
1	12		Yeah. 
1	12	Oh. How did you figure that one out? How'd you know that piece would go there?	
1	12		A little help please. 
1	12	What should I do with this one?	
1	12		Put it right… Here!
1	12	Like this? 	
1	12		Yeah!
1	12	How did you know that would go there?	
1	12		It fits. 
1	12	It fits. Ok. 	
1	12	What should I do with this piece?	
1	12		Put it on the duck. Right here
1	12	Like this? 	
1	12		No. 
1	12	No? What should I do to fix it?	
1	12		Turn it. 
1	12	Like this? 	
1	12		Yeah!
1	12	Alright! How did you figure that one out? 	
1	12		What about the baby one? 
1	12	What about the baby? What should I do with this piece? 	
1	12		Put it on the baby!
1	12	Like this? 	
1	12		Yeah!
1	12	How did you know that would go there?	
1	12		We finished our puzzle. 
1	12	We finished our puzzle. Look at that all done. 	
1	12		Is that the mother puff. 
1	12	Maybe. Yeah. That's the mother duck. 	
1	12		And that's the baby duck?
1	12	And that's the baby duck. Yeah. 	
1	12		But what is the pig eating?
1	12	I don't know. 	
1	12		A piece of corn!
1	12	Oh. Look at that 	
1	12		Pigs like to eat corn . And peanut butter too. 
1	12	And Peanut butter too.	
1	12		Yeah. 
1	12	Oh, yum. 	
1	12		### Ooo. 
2	12	Ok. Ready for our next puzzle? 	
2	12	So we are going to do this one a little differently ok?	
2	12	Ok. Oops	
2	12	So I'm going to show you how to play a game with the puzzle. Ok?	
2	12	So, I have the puzzle pieces stacked and so what we are going to do is you are going to tell me what to do with the pieces and I'm going to put them in. Ok? 	
2	12	Make sure to use your words because I'm just going to do what you tell me to do. Ok? And this is what the puzzle is going to look like when we are all done.	
2	12	Ok. So, can you tell me what I should do with this piece? 	
2	12	Ok. So I should put it right here? Like that?	
2	12	No? How should I fix it 	
2	12		Turn it
2	12	Turn it? Like that?	
2	12		Yes. 
2	12	Ok. How'd you know it would go like that? 	
2	12		Because
2	12	Because Why? 	
2	12		I'm just too good at puzzles. 
2	12	Ok. What should I do with this piece? 	
2	12		Put it right there. 
2	12	Put it right here like this? 	
2	12		No. 
2	12	No? Why is it wrong? 	
2	12		Because you have to turn it. 
2	12	Turn it like that? 	
2	12		No. 
2	12	No? How? 	
2	12		Turn it so that that it there. 
2	12		Yes. 
2	12	There we go. How did you know I needed to do that? 	
2	12		Umm, I knew you need to do that because that was part of that. 
2	12	Ok. So what should I do with this piece? 	
2	12		Put it right here. 
2	12	Put it like that?	
2	12		No. 
2	12	No? What's wrong with it? 	
2	12		Turn it
2	12	Turn it?	
2	12		Yes. Turn it like that. 
2	12	Like this? 	
2	12		Yes. 
2	12	And how about this piece? Where should this one go? 	
2	12		Right there? 
2	12	Right here like this? 	
2	12		No. 
2	12	No? Like how? Like this? 	
2	12		No.
2	12	Ok. Like that? 	
2	12		Like that. 
2	12	How'd you know that right away ?	
2	12		Because that was part of that. 
2	12	Ok. And what about this piece? Where should this go? 	
2	12		Umm
2	12	Like this? 	
2	12		No
2	12	No? What should I do? How should I fix it. 	
2	12		You should turn it. 
2	12	I should turn it? 	
2	12		Yes. 
2	12	Like this? 	
2	12		Yes. 
2	12	Ok. And what about this piece? Where should this go? 	
2	12		It goes right there. 
2	12	Like this? 	
2	12		No. 
2	12	No? What should, how should I fix it? 	
2	12		Turn it around. 
2	12	Turn it aroun? Like this? 	
2	12		Yes. 
2	12	Ok. I like how you are using your words. 	
2	12	Where should I put this piece. What should I do with this one? 	
2	12		Put it right there. 
2	12	Put it right here like this? 	
2	12		Yes. 
2	12	How did you know it would go there?	
2	12		Because it doesn't fit there so it goes there. 
2	12	How did you know that it wouldn't fit there? 	
2	12		Because it doesn't have that. 
2	12	Oh, ok. What about this piece? Where should I out this one?	
2	12		Umm. Right there? 
2	12	Like that? '	
2	12		No. 
2	12	No? How do I fix it? 	
2	12		Turn it
2	12	Like this? 	
2	12		No. 
2	12	Like how? Like that?  	
2	12		No
2	12	So what should I do? 	
2	12		Put this to here.
2	12	That to there?	
2	12		Mmhmm
2	12	How did you know that needed to go to there? 	
2	12		Because it had those so I knew it would to go to there. 
2	12	Ok. And what about this piece? Where should this go? 	
2	12		Right there. 
2	12	Right here like that? 	
2	12	No?	
2	12	How should I fix it? 	
2	12		Put it right there. 
2	12	Put it right here like that?'	
2	12	How'd you know it would go there? 	
2	12		Ok. And why'd you have me put it there first? Why did you thinki
2	12	Ok. And why'd you have me put it there first? Why did you thinki it would go there? 	
2	12		Because that was there but then this didn't go in there and realized this didn't have the edge
2	12	Oh. Ok. And what about this piece? Which way does it	
2	12		Right there. 
2	12	Right here like that? 	
2	12		No. 
2	12	No? How should I fix it 	
2	12		Turn it. 
2	12	Like that?	
2	12		Yes. 
2	12	Ok. 	
2	12	And what about this piece? Where does this one go? 	
2	12		Right there
2	12	Right here like that? 	
2	12		No. 
2	12	What should I do?	
2	12		Turn it
2	12	Like that? 	
2	12		Yes. 
2	12	How'd you know it'd fit like that? 	
2	12		Because that was there and you put that there. 
2	12	Ok. And this last piece? 	
2	12	Here like that?	
2	12		Yes. 
2	12	Ok good job. We finished the whole thing. 	
3	12	Ok. Now are you ready to try our next one?	
3	12		I want the animal one. The farm one. 
3	12	Ok. Yeah. So the way we're going to do this is we're going to play a game with it. Ok?	
3	12	I'm going to scoot over closer to you	
3	12	Ok. So for this puzzle I have the puzzle pieces stacked ok? What we are going to do is, you're going to tell me where to put the pieces and I'm going to put them in ok?  	
3	12		ok. 
3	12	Ok. And make sure to use your words because I'm only going to do what you tell me to do. Ok?	
3	12	This is what the puzzle is going to look like when we're all done. Ok? 	
3	12		Ok. 
3	12	Ready to start? 	
3	12		Yeah.
3	12	Yea. Ok. 	
3	12	So what should I do with this first piece? Can you tell me what to do with it? 	
3	12		Put it right here. 
3	12	Right here like that? 	
3	12		No. 
3	12	No? 	
3	12		No. Right here
3	12	Ok. How did you know it went there instead of there? 	
3	12		Because
3	12	How'd you know that?	
3	12		Because I know that it goes right there
3	12	Ok. So what should we do with this next piece? Can you tell me what to do with it?	
3	12		We can put it right here. 
3	12	Right here like that? 	
3	12		No. 
3	12	No? How should we fix it?	
3	12		Like this. 
3	12	Like that?Does that work like that?	
3	12		No. 
3	12	No? So where should we put it? 	
3	12		We need the horse piece. 
3	12	Wait. We're going to do this piece first though. Where should we put that one? 	
3	12	Where do you think that one fits? 	
3	12		Right here.
3	12	Right there like that? 	
3	12		No. 
3	12	No? 	
3	12		Right here
3	12	Like that? 	
3	12		Yeah. 
3	12	Yeah? Ok. And what should we do with this piece? 	
3	12		Put it down here.
3	12	Put it down there. Like that? 	
3	12		No. 
3	12	No? How should we fix it?	
3	12	How'd you know those two pieces went together? 	
3	12	Huh? How'd you know that?	
3	12		Because I knew that
3	12	But how'd you know it? 	
3	12		Because it goes right there
3	12	Ok.	
3	12		Together.
3	12	Ok. And should we keep those pieces there?	
3	12		Yeah. 
3	12	Both of those? Ok. 	
3	12	And what should we do with this piece?	
3	12		Hmmm
3	12	Can you tell me what to do with it? 	
3	12	Here like that? 	
3	12		No. 
3	12	No? How should I fix it? 	
3	12		You can put it right here. 
3	12	How'd you fix that one? How'd you match those two together. 	
3	12		Umm… I made them together.
3	12	Yeah? 	
3	12	How did you know we need to move those? Huh?	
3	12		Because I know to put them right there
3	12	Ok.	
3	12	And where should we put this piece?	
3	12		Mmm.
3	12	Here like this?	
3	12		No. 
3	12	No? How should we fix it?	
3	12		We can put it right here. 
3	12	Right there?	
3	12	Does that work? 	
3	12		No. 
3	12	No? So where should we put it do you think?	
3	12	Right here? Ok. 	
3	12	And how about this piece? Where does this one go? 	
3	12	Here like that? How'd you know those two pieces would fit together? 	
3	12		Cause I know that they fit together. 
3	12	But how? How could you tell. 	
3	12		Cause I know how fix them 
3	12	Ok. So where should I put this piece? 	
3	12	Here like this? 	
3	12		No. 
3	12	So how should we fix it do you think? 	
3	12	Here like this?	
3	12		No.
3	12	What do you think we should do? 	
3	12		I think it goes right here. 
3	12	Right there?	
3	12		I think it goes right here. 
3	12	Like that? 	
3	12		I think it goes right here. 
3	12	How'd you know you had to put it that way? 	
3	12		Because I know that I can put it right there. 
3	12	And why did you change that piece? 	
3	12		Cause it goes right there. 
3	12	Ok. What should we do with this piece? 	
3	12	Here like this?	
3	12		No. 
3	12	No? How should I fix it? 	
3	12		We shoul put it in like that. 
3	12	Ok. How did you know it needed to go like that and not the way I put it? 	
3	12		Because I knew
3	12	You knew. 	
3	12	What about this piece? Where should this one go? 	
3	12	Like that? 	
3	12		No. 
3	12	No? How should we fix it?	
3	12	Did that work like that? 	
3	12		No. 
3	12	No? So how should, where should we put it? 	
3	12	How'd you know to try that there? 	
3	12	Huh?	
3	12		Because I knew it would belong there. 
3	12	Ok. And what should we do with this piece? 	
3	12	Can you show me what to do? 	
3	12	Put it right here like this?	
3	12		No
3	12	No? How should I fix it? 	
3	12		Do right here. 
3	12	Oh. Ok. So How was it wrong the way I put it in? How'd you know it was wrong?  	
3	12		Because it was backwards
3	12	Now what should I do with this piece? 	
3	12	Here like this? 	
3	12		No. 
3	12	No?	
3	12		Like this. 
3	12	How'd you know to fix that?	
3	12		Because it was backwards too. 
3	12	What should I do with this piece? 	
3	12	There we go. All done.	
3	12		Can we do it again? 
3	12	We're going to go play puzzles with your mom. 	
4	12	We're going to do one more ok? 	
4	12	But this one we're going to do a little differently.	
4	12	So, I'm going to show youhwo to play a game with the puzzle, ok?	
4	12	I'm going to scoot over.	
4	12	Ok. The way this game works is I have the puzzle pieces stacked, ok? And what we're going to do is you're going to tell me where to put the pieces and I'm going to put them in, ok?	
4	12	And this is what the puzzle is going to look like when we're all done. So take a nice good look at it.	
4	12	Ok. So make sure to use your words because I’m only going to do with the pieces what you tell me to do. 	
4	12	Can you tell me what to do with this piece? 	
4	12	Can you use your words and tell me? 	
4	12		Put it right there
4	12	Put it right here like this? Ok. 	
4	12	What about this piece? Can you tell me what to do with it? 	
4	12	Can you use your words and tell me? 	
4	12		That doesn't go there. 
4	12	That doesn't go there?So, where hould we put it?	
4	12		It goes here.
4	12	Right there? How'd you know those two pieces would go together?  	
4	12	How'd you figure that out? Huh?	
4	12	You don't know? Can you tell me where to put that piece? 	
4	12		That goes down here on the bottom 
4	12	On the bottom? How'd you know that? 	
4	12	You don't know? How about this piece? Where do that one go?	
4	12		It goes like this right here. 
4	12	Right there? How'd you get that to fit? 	
4	12	Huh? You don't know? 	
4	12	Where's that piece go? 	
4	12	You think it goes there? 	
4	12	Ok. How about this next piece? Where does that one go?	
4	12	How'd you figure out it went there?	
4	12	You don't know? You have to know. You're figuring all these pieces out. How are you doing it? 	
4	12	You don't know? Ok. Where does this piece go? 	
4	12		###
4	12	Ok. You don't know where it goes? 	
4	12	Ok. So you think the pieces we have in right now look good? 	
4	12	Those all look good? Ok. 	
4	12	So what about this piece? Where doe it go? Can you tell me where it goes? Where do you think it goes?	
4	12	Oops. Here. There we go. 	
4	12	How'd you know those two pieces would match?	
4	12	You don't know? 	
4	12	What are you going to do with that piece? 	
4	12		It goes here. 
4	12	It goes there? 	
4	12	Ok. So if it fits there, do you think all these are right where they are? 	
4	12		Yeah. 
4	12	Yeah? 	
4	12		But this is supposed to go right here. 
4	12	Right. I think you're right. So what should we do with these pieces to make that one fit right there?	
4	12	Is there something we can do with these? 	
4	12	What'd you just do? How'd you make that fit? What did you do?	
4	12		Moved it. 
4	12	You moved it over? You did, didn't you? 	
4	12	Can you find where that piece goes? 	
4	12	How'd you know that piece went there? 	
4	12	Can you find where that one goes now? 	
4	12	You think it goes there?	
4	12		This goes here
4	12	Yeah. So how did you know it didn't go there? 	
4	12	You don't know? 	
4	12	Where does that piece go? 	
4	12	There you go. How'd you get that piece to fit?	
4	12	Oh. I think you are pushing on the wrong spot.  	
4	12	There you go. Good. 	
4	12	Now I wanna try one. Can youtell me where I should put it? Can you use your words and tell me where to put this one? 	
4	12		###
4	12	Right there? How'd you know it would go there? 	
4	12	Huh?	
4	12	There we go. Good Job. You finished the whole thing. 	
5	12	Ok. We have one more puzzle to do, ok? 	
5	12	This one we are going to do a little differently,ok. This one we're going to play a game with it. 	
5	12	So, I'm going to scoot over. 	
5	12	Ok. So, in this game, I have the puzzle pieces stacked ok? And what we're going to do is you're going to tell me where to put the puzzle pieces and I'm going to put them in, ok? 	
5	12	But you gotta make sure to use your words because I'm only going to do what you tell me to do, ok? And this is what the puzzle will look like when we're all done. Ready to statrt> 	
5	12		Yeah. 
5	12	Ok. 	
5	12	So can you tell me what I should do with my first piece? 	
5	12		Oh. I think it should go right here. 
5	12	Like that? 	
5	12		Yeah. 
5	12	Ok. 	
5	12	And why did you think it should go there? 	
5	12		Because, ah, on that puzzle it shows it should goes over there. 
5	12	Ok. But we're not going to look at this one, ok? Try to do it without looking ok? 	
5	12	Ok. So how about this piece? Where should this one go? Can you tell me where it goes? 	
5	12	Right here, like that? 	
5	12		No
5	12	No?	
5	12		It ###
5	12	How should we fix it? 	
5	12	Does it fit there? 	
5	12		I think, I know
5	12	Why'd you move that piece? 	
5	12		Because it's on the middle one.
5	12	Hmm. 	
5	12		I Ithink it goes… here
5	12	How'd you know to try it there? 	
5	12		Because, it's umm, you know. Because it's part of the farm .
5	12	Ok. And how about this piece? Can you tell me what to do with it? 	
5	12		Put it right there. 
5	12	Right here, like this? 	
5	12	Why'd you try it that way? 	
5	12	How'd you know to try those two pieces?	
5	12		Because see, it's part of the… it's part of the legs
5	12	Parts of the legs of the horse. Ok. 	
5	12	Can you tell me what to do with this piece? 	
5	12		It goes in.. It goes right there. 
5	12	Goes right there like this ? Like that? 	
5	12		It goes like… This. 
5	12	Ok. How'd you know I put it in wrong. 	
5	12		Because it, it was upside down. 
5	12	Ok. It was upside down. Ok good. 	
5	12	Whatcha going to do with that piece? Can you tell me what to do with it? 	
5	12		I think it needs to go there. 
5	12	You think it needs to go there? Like that? 	
5	12		That move was silly. 
5	12	Hmm. Where can we put it? 	
5	12		I think it goes here. 
5	12	You think right there? Why'd you wanna try it there?  	
5	12		No. 
5	12		###
5	12	Oh. Let's try to guess without looking. Where do you think it goes 	
5	12	You think right there? Does that match? 	
5	12		No. 
5	12	No? Ok.  	
5	12	Where else could we try it? 	
5	12	There we go. How did you know to put it there?	
5	12		Because it goes right here. 
5	12	How did you know it went right there? 	
5	12		Because on there it said it goes right there
5	12	Ok. And how about this piece? What should I do with this one? Can you tell me what to do with it? 	
5	12		Yeah. 
5	12	Right here? Like this? 	
5	12		Yeah. 
5	12	How'd you know those pieces would match?	
5	12		Because see, it's part of the pig and part of the horse. 
5	12	Ok. And how about this piece?  What should we do with this one? 	
5	12		I think this goes on part of the cow. 
5	12	Ok. So I should put it here? Like that? 	
5	12		No. 
5	12	Ok. Like that? 	
5	12		I think it should go like… right
5	12	Hmm	
5	12		There.
5	12	Like that? Ok. 	
5	12	And what should we do with this piece? 	
5	12		Sheep. 
5	12	Sheep	
5	12		Go right…###
5	12	What made you try it there? 	
5	12	Hmm?	
5	12	There we go. How did you know it went here and not there? 	
5	12		Because it goes here. 
5	12	Ok. 	
5	12	And what should we do with this piece? Can you tell me what to do with it? Hmm?	
5	12		Yeah. 
5	12	Yeah? What should we do? 	
5	12	Here like this? 	
5	12	No?	
5	12	Hmm. 	
5	12	You think those two pieces go together? 	
5	12	Why do you think those two pieces go together? 	
5	12		Because. 
5	12	What else can we try? 	
5	12	How did you know to try that piece there?	
5	12	Huh?	
5	12	Where do you think we should put that one? 	
5	12		I think it goes under the cow/ 
5	12	You think it goes under the cow? 	
5	12		Yeah. 
5	12	Yeah? Ok.  	
5	12		I think we have to do this one last. 
5	12	We have to do that one last? We should wait on it? Ok. 	
5	12	How about this next piece? What should we do with this one? You tell me what to do with it? 	
5	12		Yeah. 
5	12	Yeah? 	
5	12		Put it here. 
5	12	Put it here like this? 	
5	12		Yeah. 
5	12	How'd you know that? 	
5	12		Because this part. Now let's try it. 
5	12	Now let's try it. 	
5	12		Nope. 
5	12	No? Not yet? Ok. 	
5	12	How about this piece? Can you tell me what to do with it?	
5	12	You mean like this?	
5	12		Yup. 
5	12	How'd you know that would go there? 	
5	12		Because it's the duck it's swimming 
5	12	Ok. And what about this piece? Where does that one go?  	
5	12	Mkay. How did you know that would go there?	
5	12		Because it's the nose. 
5	12	It's the nose of the cow. Ok. 	
5	12	And how about that last piece? 	
5	12	There we go. Good job. We finished the whole thing. 	
5	12		Yeah. 
5	12	Yeah. And now you get to do more puzzles with your mom. 	
6	12	Ok. This puzzle we're going to do a little differently. Ok? 	
6	12	So for this one we're going to play a little game with it. 	
6	12	I'm going to scoot over here. 	
6	12	In this game I have the puzzle pieces stacked. Ok? 	
6	12	And what we're going to do is I'm going to put the pieces in and you are going to tell me where to put them. Ok? 	
6	12	Make sure to use your words because I'm only going to do what you tell me to do. Ok?  	
6	12	And this is what the puzzle is going to look like when we're all done. Ok? You ready to start? 	
6	12	Ok. So here's our first piece. Can you tll me what to do with it? 	
6	12	Ok. Can you use your words? What should I do with it? 	
6	12		Put it right here. 
6	12	Put it right here? 	
6	12	Ok. And how about this piece? Where should we put this? 	
6	12		Right here. 
6	12	Right there? 	
