_ID	KIND	BEGIN	END	DURATION	TIME	PARENT	CHILD	PAGE
2	NF	325.63	328.41	2.78		did we see it at halloween or no. or was that a crescent moon.		
2	NF	328.63	329.73	1.1				page 13
2	NF	328.76	330.61	1.85			that was a ##	
2	NF	330.03	331.17	1.14		yeah.		
2	NF	333.18	336.78	3.6			some nights the moon is half moon.	
2	NF	335.753	337.393	1.64		cause it's half of that.		
2	NF	339.673	340.423	0.75				page 14
2	NF	339.88	343.56	3.68			other nights, the moon is just a crescent moon.	
2	NF	342.853	345.023	2.17		mm-hmm, just a sliver in the sky.		
2	NF	346.35	347.25	0.9				page 15
2	NF	348.79	357.17	8.38			now that you know more about the moon, would you still like to visit? maybe someday you can, I would like to	
2	NF	356.7	357.91	1.21		you would like to?		
2	NF	357.41	362.17	4.76			grow up. that little girl is riding on a big spaceship.	
2	NF	361.16	364.18	3.02		yeah. would you want to wear a big spacesuit?		
2	NF	362.58	364.13	1.55	Stop			
2	NF	365.15	367.22	2.07		what do you think would be the best part about going to the moon.		
2	NF	368.3	373.12	4.82			um... finding other astronauts?	
2	NF	373.01	376.51	3.5		finding other astronauts? I think it would be fun to bounce around.		
2	NF	376.85	380.18	3.33		and do somersaults in the air because there's no gravity.		
2	NF	379.81	382.49	2.68			it would be fun to do that.	
2	NF	380.49	381.94	1.45		or very little gravity.		
2	NF	382.38	384.8	2.42		there's some gravity, just not as much right?		
2	NF	385.48	388.29	2.81			uh huh, so you could still float.	
2	NF	388.27	389.02	0.75		uh-huh.		
2	NF	389.02	392.43	3.41			but you wouldn't float too high.	
2	F	404.83	406.04	1.21	Start			
2	F	404.86	405.5	0.64				Cover
2	F	405.29	406.96	1.67		do you want to read this one or do you want me to.		
2	F	405.81	409.08	3.27			what's next, what next baby bear	
2	F	409.38	410.33	0.95			I want to read it.	
2	F	410.38	412.07	1.69			what next baby bear?	
2	F	413.06	414.07	1.01				page 1
2	F	413.89	416.73	2.84			can I go to the moon, asked baby bear.	
2	F	420.25	421.59	1.34				page 2
2	F	423.42	427.06	3.64			no, it's your bathtime, said miss bear.	
2	F	427.2	430.32	3.12			and you'd have to find a rocket first.	
2	F	433.29	434.98	1.69		it's the heat again.		
2	F	435.05	436.06	1.01				page 3
2	F	435.51	442.21	6.7			that's noisy. baby bear found a rocket in the closet under the stairs.	
2	F	442.29	443.28	0.99				page 4
2	F	443.05	444.76	1.71			and the space helmet	
2	F	444.1	445.39	1.29		where's his rocket?		
2	F	445.73	446.69	0.96				page 3
2	F	446.28	447.0	0.72		oh.		
2	F	450.23	453.07	2.84			he must be just getting it out.	
2	F	452.4	453.13	0.73		yeah.		
2	F	453.42	454.19	0.77				page 4
2	F	454.11	459.39	5.28			he found a space helmet in the kitchen and a pair of space boots by the front door.	
2	F	459.01	460.41	1.4		what's that on his head?		
2	F	460.52	462.39	1.87			a bowl.	
2	F	462.42	464.34	1.92		a bowl. like our strainer.		
2	F	464.83	465.45	0.62		mm-hmm.		
2	F	469.25	473.45	4.2			and he found boots by the ##	
2	F	473.1	473.92	0.82		mm-hmm.		
2	F	473.65	474.58	0.93				page 6
2	F	474.31	476.32	2.01		that's the wrong page, I think we skipped a page.		
2	F	476.1	476.98	0.88				page 5
2	F	480.05	483.93	3.88			he packed his teddy bear and some food for the journey.	
2	F	485.01	486.45	1.44		what do you call him now?		
2	F	488.44	490.76	2.32			I don't know.	
2	F	491.08	492.35	1.27		apple looks like		
2	F	494.84	495.68	0.84			apple.	
2	F	496.71	497.62	0.91				page 6
2	F	499.31	504.21	4.9			he took off up the chimney.	
2	F	504.21	507.1	2.89			but he won't really fly because he	
2	F	506.15	508.57	2.42		we don't think he really flies, there he goes though.		
2	F	508.72	511.34	2.62			yeah he did actually.	
2	F	510.03	510.98	0.95				page 7
2	F	512.6	516.17	3.57			what a great rocket said an old owl floating past.	
2	F	515.98	516.84	0.86		a what?		
2	F	517.77	520.9	3.13			said an owl flying past.	
2	F	521.29	529.4	8.11			would you care to accompany me to the moon asked baby... love to replied the owl.	
2	F	529.67	531.2	1.53				page 8
2	F	533.18	534.53	1.35			on and on	
2	F	535.81	542.88	7.07			they flew up up up and above the clouds past a million stars at last they landed on the moon.	
2	F	541.97	543.04	1.07				page 9
2	F	543.61	548.13	4.52			there's nobody around here, said baby bear. there are no trees.	
2	F	550.11	559.53	9.42			it's kind of boring said baby bear. what do you think about a picnics. what a splendid idea said the owl.	
2	F	550.686	551.266	0.58		do it		
2	F	559.42	563.29	3.87		wait hold on a second why do you, do you remember from the other story why there are no trees?		
2	F	564.06	567.19	3.13			because there's no gravity.	
2	F	567.27	568.56	1.29		okay and why else.		
2	F	567.79	571.53	3.74			so the trees will just be floating and there's no water.	
2	F	571.28	574.99	3.71		there's no water. that's right. and they need water to grow.		
2	F	574.49	575.2	0.71			grow.	
2	F	578.06	579.78	1.72			good idea said the owl.	
2	F	578.961	579.901	0.94				page 10
2	F	580.29	588.44	8.15			we'd  better go said baby bear my bath must be ready by now. they went down and down	
2	F	589.98	591.82	1.84			it was nice to meet you.	
2	F	592.84	593.99	1.15			owl said.	
2	F	592.901	594.281	1.38				page 11
2	F	597.73	599.41	1.68			with a thump	
2	F	599.13	600.53	1.4		alright read it so I can hear it		
2	F	601.926	607.106	5.18			home went baby bear back down the chimney and up onto the carpet with a thump.	
2	F	606.57	607.44	0.87				page 12
2	F	608.62	611.05	2.43		do you think you could get to the moon and back before ###?		
2	F	612.63	614.2	1.57		you think you can go that fast?		
2	F	620.19	621.36	1.17		wonder what it's like in there		
2	F	622.556	632.266	9.71			missus bear gasped as she came into the room how did you get so dirty she asked. I found a rocket said baby bear.	
2	F	635.78	637.04	1.26				page 13
2	F	637.936	644.296	6.36			I found a rocket said baby bear and then I flew to the moon. what will you think of next, said missus bear.	
2	F	644.28	645.64	1.36		did you like that one?		
2	F	644.35	645.18	0.83	Stop			
3	F	4.46	5.3	0.84	Start			
3	F	5.5	6.04	0.54				Cover
3	F	6.31	9.29	2.98		what's next baby bear by Joe Murphy.		
3	F	11.42	12.33	0.91				page 1
3	F	13.11	16.22	3.11		can I go to the moon, asked baby bear.		
3	F	16.37	22.17	5.8		something in your eye. probably should have wet your face there. 		
3	F	22.17	23.12	0.95		let me see.		
3	F	31.23	34.98	3.75		doesn't want to come out, it's very stubborn. ok.		
3	F	35.96	38.87	2.91		can I go to the moon asked baby bear.		
3	F	38.89	39.88	0.99				page 2
3	F	40.41	43.99	3.58		no it's your bath time said missus bear.		
3	F	44.19	47.3	3.11		anyway you'd have to find a rocket first.		
3	F	52.22	53.0	0.78				page 3
3	F	54.05	58.69	4.64		baby bear found a rocket in the closet under the stairs.		
3	F	61.84	63.68	1.84		what's in that closet under the stairs.		
3	F	63.45	64.64	1.19				page 4
3	F	63.67	65.71	2.04			it's a closet	
3	F	65.73	68.73	3.0		yeah somehow there's a closet under the stairs what are those		
3	F	69.38	70.33	0.95			boots.	
3	F	70.08	70.86	0.78		what kind?		
3	F	71.42	71.98	0.56			yellow.	
3	F	72.26	75.0	2.74		no, but what kind? what were your favorite boots to wear?		
3	F	76.04	76.9	0.86			yellow.	
3	F	76.68	77.59	0.91		rainboots		
3	F	77.92	79.2	1.28			rainboots	
3	F	78.76	80.6	1.84		yeah remember your hello kitty rainboots		
3	F	82.15	83.12	0.97		and then there's a...		
3	F	84.35	85.6	1.25			umbrella.	
3	F	85.93	86.8	0.87		and what's that?		
3	F	88.24	90.31	2.07		it's a thing from the kitchen		
3	F	90.42	91.4	0.98		it's called a		
3	F	90.97	91.7	0.73			pitcher.	
3	F	91.93	93.15	1.22		coriander.		
3	F	93.33	94.56	1.23			coriander.	
3	F	94.65	99.53	4.88		he found a space helmet in the kitchen, and a pair of space boots by the front door.		
3	F	99.76	100.92	1.16				page 5
3	F	103.17	107.11	3.94		he packed his teddy bear and some food for the journey		
3	F	111.17	113.46	2.29			why he pack all that food?	
3	F	114.22	116.55	2.33		'cause he's gonna try to go to the moon.		
3	F	116.64	118.08	1.44				page 6
3	F	121.02	123.78	2.76		and took off up the chimney		
3	F	125.0	126.08	1.08			what's so funny?	
3	F	126.12	129.56	3.44		he's blasting off through the chimney.		
3	F	130.43	131.88	1.45		in his box.		
3	F	133.07	134.22	1.15				page 7
3	F	136.75	140.02	3.27		what a great rocket said an owl flying past.		
3	F	140.58	144.28	3.7		would you care to accompany me to the moon, asked baby bear.		
3	F	145.17	147.72	2.55		I would love to replied the owl.		
3	F	149.4	152.59	3.19			can... can I read a little?	
3	F	152.47	153.71	1.24				page 8
3	F	153.73	155.53	1.8		ok read what does it say.		
3	F	159.76	161.01	1.25			um...	
3	F	162.26	167.58	5.32			the ## owl ### (she's mumbling because she can't read it)	
3	F	169.68	170.14	0.46		yeah.		
3	F	170.37	180.06	9.69		on and on they flew up and up above the clouds past millions of stars until at last they landed on the moon.		
3	F	180.85	181.53	0.68		wow.		
3	F	181.88	182.75	0.87				page 9
3	F	182.1	184.03	1.93		he got to the moon in a box.		
3	F	185.87	188.65	2.78			oh, they have snacks.	
3	F	188.09	190.41	2.32		yeah, what kind of snacks do they have.		
3	F	191.05	193.87	2.82			they have a drink.	
3	F	194.22	196.87	2.65		and looks like some cookies.		
3	F	195.9	209.51	13.61			and they have cookies and they have jelly and they have a spoon and they have a apple and they have tea and they have dough.	
3	F	209.58	211.41	1.83		I think that's cookies.		
3	F	211.84	213.52	1.68			dough cookies.	
3	F	214.2	219.16	4.96		there's nobody around here, said baby bear. there are no trees, said the owl.		
3	F	219.17	227.45	8.28		it's kind of boring said baby bear. what do you think about a picnic, baby bear asked. what a splendid idea, said the owl.		
3	F	226.9	228.05	1.15				page 10
3	F	229.24	232.4	3.16			can I do that? can I read that?	
3	F	232.08	233.61	1.53		yeah what does it say.		
3	F	233.79	239.78	5.99			it says good bye baby owl, I'm going to miss you.	
3	F	241.67	245.9	4.23		we'd better go, said baby bear because my bath must be ready by now.		
3	F	246.7	249.48	2.78		off they went, down and down.		
3	F	250.1	254.6	4.5		before he clew away, it was nice to meet you, the owl said.		
3	F	255.79	256.91	1.12				page 11
3	F	258.0	262.91	4.91		home went baby bear back down the chimney and onto the carpet		
3	F	263.1	264.32	1.22		with a thump.		
3	F	267.0	268.34	1.34				page 12
3	F	267.92	269.37	1.45			what is...	
3	F	270.68	276.91	6.23		missus bear asked as she came into the room. how did you get so dirty? she asked.		
3	F	277.2	279.57	2.37		I found a rocket, said baby bear.		
3	F	281.53	283.99	2.46		get it on his paws and stuff		
3	F	285.92	286.36	0.44		dirt.		
3	F	286.35	287.04	0.69				page 13
3	F	289.4	291.82	2.42		I found a rocket, said baby bear.		
3	F	291.92	293.81	1.89		and then I flew to the moon.		
3	F	294.62	299.11	4.49		oh my. what will you think of next, said missus bear.		
3	F	300.19	301.49	1.3	Stop	the end.		
3	NF	347.11	348.0	0.89	Start			
3	NF	347.67	348.49	0.82		let's see		
3	NF	349.2	350.37	1.17		science book.		
3	NF	350.88	352.81	1.93			what's a science book?	
3	NF	352.93	358.02	5.09		science. different things that go on in science like the moon, the earth, the stars...		
3	NF	358.55	359.68	1.13			oh, is	
3	NF	359.46	360.55	1.09		says rookie		
3	NF	360.11	366.1	5.99			I'ma... I'ma gonna do some since in the ##	
3	NF	367.26	368.46	1.2		what do you mean?		
3	NF	368.92	371.95	3.03		right here? not in here. we're just gonna read about it.		
3	NF	372.53	378.3	5.77		rookie read about science. when you look up at the moon by Allan Fowler.		
3	NF	378.25	379.06	0.81				page 1
3	NF	379.71	383.23	3.52		when you look up at the moon, do you wish you could visit it?		
3	NF	383.97	384.82	0.85			no.	
3	NF	385.02	385.91	0.89		you don't?		
3	NF	385.71	386.39	0.68			yes.	
3	NF	386.4	388.27	1.87		you don't want to visit the moon?		
3	NF	387.98	388.92	0.94				page 2
3	NF	389.72	395.08	5.36		you'd see very tall mountains and wide flat plains there		
3	NF	392.61	395.23	2.62			wide flat plains there	
3	NF	399.76	401.07	1.31				page 3
3	NF	401.09	402.74	1.65		you would also see		
3	NF	403.51	406.97	3.46		big rings called craters. those are craters.		
3	NF	407.87	409.95	2.08			why are they circles?	
3	NF	410.05	411.85	1.8		you know what? I'm not sure.		
3	NF	412.07	413.61	1.54		how craters form.		
3	NF	414.19	416.7	2.51		there would be rocks all around you.		
3	NF	414.26	416.76	2.5			what. what is that thing.	
3	NF	416.95	417.47	0.52		no.		
3	NF	417.78	419.36	1.58			have one of those things	
3	NF	418.96	420.47	1.51		maybe after we finish this.		
3	NF	421.64	423.25	1.61		let's sit down, finish your reading.		
3	NF	423.72	425.53	1.81		there will be rocks all around you.		
3	NF	425.95	427.19	1.24				page 4
3	NF	427.72	434.04	6.32		since the moon has no air or water there are no plants or animals there.		
3	NF	435.62	440.98	5.36		I don't think there's people there either because there's no air or water. so you couldn't live on the moon.		
3	NF	441.37	442.41	1.04				page 5
3	NF	443.99	446.32	2.33		has anybody ever visited the moon?		
3	NF	446.56	447.33	0.77		yes.	yes.	
3	NF	447.94	449.92	1.98		twelve astronauts.		
3	NF	450.5	453.51	3.01		six american spaceships flew to the moon.		
3	NF	454.18	455.78	1.6		bet that was exciting.		
3	NF	458.15	459.25	1.1				page 6
3	NF	459.58	461.88	2.3			why they flew to the moon?	
3	NF	462.9	464.34	1.44		to see what was there.		
3	NF	464.62	469.91	5.29		the first trip was in 1969, the last was in 1972.		
3	NF	470.1	470.8	0.7		wow.		
3	NF	471.58	477.04	5.46		so the last, the last time somebody visited the moon was almost thirty years ago.		
3	NF	477.8	479.59	1.79			or sixty years.	
3	NF	479.0	480.61	1.61		no almost forty years ago.		
3	NF	480.64	482.52	1.88			forty years ago.	
3	NF	481.09	487.86	6.77		eighty two, ninety two, two thousand two, yeah almost forty years ago because it'll be 2012 next year it'll be forty years		
3	NF	485.46	486.92	1.46				page 7
3	NF	488.82	495.05	6.23		each time, two astronauts stepped onto the moon's surface. you see they had to wear special		
3	NF	495.75	497.22	1.47			why's there a little	
3	NF	496.14	497.31	1.17		special clothes.		
3	NF	497.47	500.28	2.81			why's there a little astronaut.	
3	NF	500.9	504.34	3.44		oh he just looks little. he's actually a big grown man.		
3	NF	505.55	511.73	6.18		he just looks little on the picture but they had to wear a special suit because there's no air so they can breathe through the suit		
3	NF	514.64	515.6	0.96				page 8
3	NF	516.11	523.1	6.99			are they gonna uh, uh going to take those things off	
3	NF	523.18	527.32	4.14		yeah if they take it off here, they might because they won't be able to breathe		
3	NF	527.8	534.15	6.35		astronauts wore spacesuits. spacesuits gave astronauts air to breathe.		
3	NF	535.31	537.03	1.72			what... what is that.	
3	NF	537.2	538.58	1.38		that's the helmet.		
3	NF	541.63	543.78	2.15			where is he going.	
3	NF	544.25	546.38	2.13		well it looks like he's climbing a ladder		
3	NF	549.17	549.9	0.73				page 9
3	NF	551.01	554.73	3.72		astronauts could jump higher on the moon than they could on earth.		
3	NF	554.82	556.85	2.03		and they came down more slowly.		
3	NF	557.01	559.0	1.99		it was almost like floating.		
3	NF	560.67	562.4	1.73		because the moon doesn't have any		
3	NF	562.94	564.0	1.06		gravity.		
3	NF	564.85	566.25	1.4			what's gravity.	
3	NF	565.5	568.72	3.22		gravity is what pulls you down to the earth		
3	NF	568.93	572.3	3.37		like if you jump and you come back down, that's gravity pulling you back down		
3	NF	574.46	575.73	1.27				page 10
3	NF	576.91	580.02	3.11		from the moon, the astronauts could see earth.		
3	NF	580.61	582.78	2.17		the earth looked far away.		
3	NF	583.45	585.63	2.18		oh look that's amazing.		
3	NF	585.89	588.15	2.26		to be on the moon and look back and see the earth.		
3	NF	588.67	590.63	1.96		are you paying attention to this lady.		
3	NF	591.0	592.04	1.04			uh, yes.	
3	NF	591.17	591.9	0.73		have a seat.		
3	NF	593.69	596.97	3.28		sit back in the chair and maybe you won't have such a hard time.		
3	NF	597.43	598.97	1.54		yeah there you go.		
3	NF	599.28	600.43	1.15		there you go.		
3	NF	601.02	602.35	1.33		you can't write on here.		
3	NF	602.4	603.43	1.03				page 11
3	NF	604.31	608.39	4.08		about every four weeks, the moon travels around the earth.		
3	NF	608.61	611.32	2.71		the sun shines on the moon and lights it up.		
3	NF	615.9	620.02	4.12			would you detect... scrabble... that.	
3	NF	618.48	621.19	2.71		every four weeks the moon travels around the earth		
3	NF	622.83	624.03	1.2		interesting.		
3	NF	624.8	627.4	2.6			why does it travel around earth?	
3	NF	629.07	630.42	1.35				page 12
3	NF	631.62	637.85	6.23		that's why you can see it. when you see it as a bright circle, it's called a full moon.		
3	NF	637.91	641.9	3.99			that is a full moon, on the right.	
3	NF	640.39	641.57	1.18		that's a full moon.		
3	NF	642.02	642.97	0.95		that's a full moon.		
3	NF	644.57	645.91	1.34		here, put the pen down.		
3	NF	646.62	647.44	0.82				page 13
3	NF	648.24	649.37	1.13		pen down.		
3	NF	649.91	653.97	4.06		some nights the moon is a half moon. we've see that before right in the sky.		
3	NF	654.69	656.56	1.87		we've seen the full moon and a half moon.		
3	NF	657.0	658.02	1.02				page 14
3	NF	657.83	660.36	2.53		have you seen a full moon in the sky?		
3	NF	658.05	658.59	0.54			you	
3	NF	660.93	662.3	1.37			half moon.	
3	NF	661.7	663.52	1.82		it was a half moon in the sky.		
3	NF	664.49	665.39	0.9				page 15
3	NF	666.24	668.21	1.97		other nights, the moon NO		
3	NF	668.15	668.7	0.55			you	
3	NF	668.51	670.34	1.83		the moon is a crescent moon.		
3	NF	669.81	675.22	5.41			are going to be so old...	
3	NF	671.31	672.28	0.97		crescent moon		
3	NF	674.61	676.38	1.77		put the top one in peanut butter there		
3	NF	675.9	676.15	0.25			you	
3	NF	677.66	678.69	1.03				page 16
3	NF	678.23	681.4	3.17			wait, don't turn the page yet	
3	NF	680.46	681.49	1.03				page 15
3	NF	681.92	683.85	1.93			ooh, that's a little girl	
3	NF	684.4	686.21	1.81		yeah you're looking at the crescent moon		
3	NF	686.71	691.9	5.19			that's a little girl that was, uh, wearing that astronaut thing.	
3	NF	688.38	689.76	1.38				page 16
3	NF	691.8	696.2	4.4		now that you know more about the moon, would you still like to visit it?		
3	NF	697.24	698.04	0.8			yes.	
3	NF	698.01	699.52	1.51		maybe you can someday.		
3	NF	701.23	701.95	0.72	Stop	the end.		
4	F	0.13	0.71	0.58	Start			
4	F	0.94	1.67	0.73				page 2
4	F	1.34	1.93	0.59		alright.		
4	F	2.04	4.33	2.29			he was supposed to go to bed.	
4	F	3.33	4.06	0.73				page 3
4	F	4.96	6.12	1.16			so... what.	
4	F	6.36	7.69	1.33		you're reading to me?		
4	F	7.51	8.88	1.37			that's... no.	
4	F	8.1	8.79	0.69				page 4
4	F	9.07	11.27	2.2		no? you're not reading to me?		
4	F	15.5	17.34	1.84			put his shoes on	
4	F	18.0	21.4	3.4			and look mommy he put something on his head	
4	F	20.64	24.05	3.41		that's cute. do you want me to read it to you?		
4	F	24.47	25.85	1.38		or you want to keep looking at it.		
4	F	26.67	27.57	0.9				page 6
4	F	28.4	31.23	2.83			there's a bear, in the big box	
4	F	33.4	35.69	2.29		your sister's ## I'm gonna get her bottle ok		
4	F	36.74	37.64	0.9				page 7
4	F	37.64	40.64	3.0			and he saw some eagles	
4	F	41.31	42.19	0.88				page 9
4	F	42.96	44.4	1.44			they went... uh.	
4	F	44.38	45.71	1.33		so what did he do there?		
4	F	47.11	50.01	2.9			ate on the top of the moon.	
4	F	49.28	50.01	0.73				page 10
4	F	50.28	54.25	3.97			that's him and they went back.	
4	F	55.69	56.74	1.05				page 11
4	F	57.51	59.73	2.22			and then they got out	
4	F	60.37	62.01	1.64			got out of there	
4	F	62.46	64.21	1.75			that fell down	
4	F	65.19	66.44	1.25		you look at this		
4	F	69.09	70.47	1.38			what's that for?	
4	F	71.23	73.22	1.99		it's for ##'s bottle.		
4	F	74.41	77.5	3.09		see, put it in here, that's her bottle.		
4	F	78.21	79.84	1.63		what else happened in that story?		
4	F	80.7	81.44	0.74				page 12
4	F	81.42	84.4	2.98			um he want to ###	
4	F	85.44	86.1	0.66				page 13
4	F	90.63	92.45	1.82			his mom gave him a bath	
4	F	95.36	96.55	1.19		### (baby is crying)		
4	F	97.51	100.4	2.89			mommy ####	
4	F	99.99	100.78	0.79	Stop			
4	F	101.91	104.09	2.18		## from the start? alright.		
4	F	104.94	106.62	1.68		### what it says?		
4	F	107.94	109.21	1.27		you want me to read you the words?		
4	F	109.46	110.45	0.99		what it says now?		
4	F	110.62	113.51	2.89			no, well, you take another one.	
4	F	113.4	117.09	3.69		we're not finished doing this one, I'm going to read the story to you now.		
4	F	114.76	115.64	0.88	Start			
4	F	114.76	116.15	1.39				Cover
4	F	118.07	119.75	1.68		what next, baby bear?		
4	F	119.8	120.85	1.05				page 1
4	F	120.08	123.11	3.03			I feel I need to go pee pee.	
4	F	122.881	124.211	1.33		you feel like you need to go pee pee?		
4	F	125.08	125.96	0.88	Stop			
4	F	125.111	127.481	2.37		let's go see if we can go.		
4	F	127.941	129.711	1.77			wait wait, wait.	
4	F	129.811	130.321	0.51		what?		
4	F	130.711	133.321	2.61			if we go pee, it'll be over.	
4	F	133.181	135.661	2.48		no it won't be over, we can go potty, it's down the hall.		
4	F	136.71	137.49	0.78		it's ok.		
4	F	162.47	163.42	0.95		alright, sit on your butt.		
4	F	163.72	164.67	0.95		and I'll scoot you in.		
4	F	167.52	168.75	1.23		alright, I'm going to read to you.		
4	F	169.8	170.57	0.77	Start			page 1
4	F	169.81	171.94	2.13		can I go to the moon, asked baby bear.		
4	F	173.33	174.14	0.81		turn the page.		
4	F	174.63	176.69	2.06			but I don't want to turn the page, you turn the page.	
4	F	178.65	179.54	0.89				page 2
4	F	180.81	183.2	2.39		no, it's your bathtime said missus bear.		
4	F	183.91	186.02	2.11		anyway, you'd have to find a rocket first.		
